filename,width,height,class,xmin,ymin,xmax,ymax
ErgAnzungsvereinbarung_185.jpg,2480,3508,content,259,1009,2320,3431
ErgAnzungsvereinbarung_185.jpg,2480,3508,header,262,70,2435,381
ErgAnzungsvereinbarung_185.jpg,2480,3508,type,1687,386,2363,457
ErgAnzungsvereinbarung_185.jpg,2480,3508,customer,268,468,863,817
Bestellung_145.jpg,2480,3508,content,258,1271,2280,3440
Bestellung_145.jpg,2480,3508,identification,1611,529,2480,1095
Bestellung_145.jpg,2480,3508,type,1612,424,2470,516
Bestellung_145.jpg,2480,3508,customer,263,485,818,946
Bestellung_145.jpg,2480,3508,header,267,133,2480,410
Bestellakte_166.jpg,2480,3508,header,246,130,2456,397
Bestellakte_166.jpg,2480,3508,content,246,1249,2446,3508
Bestellakte_166.jpg,2480,3508,identification,1619,531,2455,1019
Bestellakte_166.jpg,2480,3508,type,1624,413,2458,520
Bestellakte_166.jpg,2480,3508,customer,251,460,821,963
Ubernahmeinformation_124.jpg,2480,3508,header,225,29,2390,300
Ubernahmeinformation_124.jpg,2480,3508,content,201,1104,2362,3463
Ubernahmeinformation_124.jpg,2480,3508,identification,1673,421,2391,1090
Ubernahmeinformation_124.jpg,2480,3508,type,1683,333,2353,420
Ubernahmeinformation_124.jpg,2480,3508,customer,226,444,788,796
Ubernahmeinformation_130.jpg,2480,3508,header,225,29,2390,300
Ubernahmeinformation_130.jpg,2480,3508,content,201,1104,2362,3463
Ubernahmeinformation_130.jpg,2480,3508,identification,1673,421,2391,1090
Ubernahmeinformation_130.jpg,2480,3508,type,1683,333,2353,420
Ubernahmeinformation_130.jpg,2480,3508,customer,226,444,788,796
ErgAnzungsvereinbarung_191.jpg,2480,3508,content,259,1009,2320,3431
ErgAnzungsvereinbarung_191.jpg,2480,3508,header,262,70,2435,381
ErgAnzungsvereinbarung_191.jpg,2480,3508,type,1687,386,2363,457
ErgAnzungsvereinbarung_191.jpg,2480,3508,customer,268,468,863,817
Bestellung_151.jpg,2480,3508,content,258,1271,2280,3440
Bestellung_151.jpg,2480,3508,identification,1611,529,2480,1095
Bestellung_151.jpg,2480,3508,type,1612,424,2470,516
Bestellung_151.jpg,2480,3508,customer,263,485,818,946
Bestellung_151.jpg,2480,3508,header,267,133,2480,410
Bestellakte_172.jpg,2480,3508,header,246,130,2456,397
Bestellakte_172.jpg,2480,3508,content,246,1249,2446,3508
Bestellakte_172.jpg,2480,3508,identification,1619,531,2455,1019
Bestellakte_172.jpg,2480,3508,type,1624,413,2458,520
Bestellakte_172.jpg,2480,3508,customer,251,460,821,963
Bestellung_179.jpg,2480,3508,content,258,1271,2280,3440
Bestellung_179.jpg,2480,3508,identification,1611,529,2480,1095
Bestellung_179.jpg,2480,3508,type,1612,424,2470,516
Bestellung_179.jpg,2480,3508,customer,263,485,818,946
Bestellung_179.jpg,2480,3508,header,267,133,2480,410
Ubernahmeinformation_118.jpg,2480,3508,header,225,29,2390,300
Ubernahmeinformation_118.jpg,2480,3508,content,201,1104,2362,3463
Ubernahmeinformation_118.jpg,2480,3508,identification,1673,421,2391,1090
Ubernahmeinformation_118.jpg,2480,3508,type,1683,333,2353,420
Ubernahmeinformation_118.jpg,2480,3508,customer,226,444,788,796
ErgAnzungsvereinbarung_146.jpg,2480,3508,content,259,1009,2320,3431
ErgAnzungsvereinbarung_146.jpg,2480,3508,header,262,70,2435,381
ErgAnzungsvereinbarung_146.jpg,2480,3508,type,1687,386,2363,457
ErgAnzungsvereinbarung_146.jpg,2480,3508,customer,268,468,863,817
Bestellung_186.jpg,2480,3508,content,258,1271,2280,3440
